종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
275750,1,KBSTAR 코스닥150선물인버스,4395,5,-20,-0.45,4397.0,-9.288,6460,28,46,국내 시장지수,KBSTAR,True,False,False
287300,2,KBSTAR 200건설,13405,2,65,0.49,13439.0,0.2617,1066,14,46,국내 업종/테마,KBSTAR,False,False,False
266550,2,ARIRANG 중형주저변동50,12390,5,-30,-0.24,12385.0,0.2021,20,0,43,국내 업종/테마,ARIRANG,False,False,False
280940,4,KODEX 골드선물인버스(H),7200,2,10,0.14,,4.5751,737,5,43,해외 주식,KODEX,True,False,True
267490,4,KBSTAR 미국장기국채선물레버리지(합성 H),13945,5,-105,-0.75,,15.8703,512,7,42,해외 주식,KBSTAR,False,True,True
333980,2,ARIRANG KS퀄리티가중TR,16425,2,180,1.11,16421.0,1.4828,15155,247,41,국내 업종/테마,ARIRANG,False,False,False
227560,2,TIGER 200 생활소비재,11385,5,-50,-0.44,11407.0,-7.5143,3474,39,41,국내 업종/테마,TIGER,False,False,False
253240,3,KOSEF 200선물인버스,4970,5,-25,-0.5,4967.0,2.7921,5396,26,41,국내 파생,KOSEF,True,False,False
291620,3,KOSEF 코스닥150선물인버스,7570,5,-50,-0.66,7570.0,-9.1782,3743,28,40,국내 파생,KOSEF,True,False,False
295020,6,KBSTAR 국채선물10년인버스,47115,2,10,0.02,47108.0,-2.4131,6,0,40,채권,KBSTAR,True,False,False
278420,2,ARIRANG ESG우수기업,9865,2,40,0.41,9867.0,-1.2019,387,3,39,국내 업종/테마,ARIRANG,False,False,False
267450,4,KBSTAR 미국장기국채선물인버스(H),7830,3,0,0.0,,-5.946,147,1,39,해외 주식,KBSTAR,True,False,True
140580,2,KBSTAR 우량업종,12860,2,90,0.7,12857.0,-5.0923,213,2,39,국내 업종/테마,KBSTAR,False,False,False
217770,4,TIGER 원유선물인버스(H),5920,5,-135,-2.23,,-5.4314,11563,68,38,해외 주식,TIGER,True,False,True
284980,2,KBSTAR 200금융,9030,5,-20,-0.22,9055.0,-4.5959,1364,12,34,국내 업종/테마,KBSTAR,False,False,False
211260,2,KINDEX 배당성장,40600,5,-105,-0.26,40537.0,2.267,10,0,32,국내 업종/테마,KINDEX,False,False,False
284990,2,KBSTAR 200에너지화학,13420,2,95,0.71,13440.0,-3.0347,199,2,32,국내 업종/테마,KBSTAR,False,False,False
